"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","TRUSTGOV","TOT","PC","A","2022",34.1607151853422,
"PRT","TRUSTGOV","TOT","PC","A","2019",43.5605003837812,
"PRT","TRUSTGOV","TOT","PC","A","2020",61.4669417209344,
"PRT","TRUSTGOV","TOT","PC","A","2021",57.618641201935,
"PRT","TRUSTGOV","TOT","PC","A","2022",58.92422646215,
"SVK","TRUSTGOV","TOT","PC","A","2019",23.097283281603,
"SVK","TRUSTGOV","TOT","PC","A","2020",30.7444519017386,
"SVK","TRUSTGOV","TOT","PC","A","2021",21.5807581467336,
"ESP","TRUSTGOV","TOT","PC","A","2019",36.7785864601752,
"ESP","TRUSTGOV","TOT","PC","A","2020",38.1767100934638,
"ESP","TRUSTGOV","TOT","PC","A","2021",37.1703814804768,
"SWE","TRUSTGOV","TOT","PC","A","2019",51.3281754260436,
"SWE","TRUSTGOV","TOT","PC","A","2020",67.107864752608,
"SWE","TRUSTGOV","TOT","PC","A","2021",63.3536082593929,
"SWE","TRUSTGOV","TOT","PC","A","2022",68.7863033630634,
"CHE","TRUSTGOV","TOT","PC","A","2019",80.6612709030345,
"CHE","TRUSTGOV","TOT","PC","A","2020",84.6330707358843,
"CHE","TRUSTGOV","TOT","PC","A","2021",83.7848093008452,
"TUR","TRUSTGOV","TOT","PC","A","2019",56.1260907192075,
"TUR","TRUSTGOV","TOT","PC","A","2020",55.3262159125458,
"TUR","TRUSTGOV","TOT","PC","A","2021",42.6014369483973,
"GBR","TRUSTGOV","TOT","PC","A","2019",34.0828862506267,
"GBR","TRUSTGOV","TOT","PC","A","2020",34.6972844445844,
"GBR","TRUSTGOV","TOT","PC","A","2021",39.4753987902553,
"USA","TRUSTGOV","TOT","PC","A","2019",36.277444009879,
"USA","TRUSTGOV","TOT","PC","A","2020",46.4917090465757,
"USA","TRUSTGOV","TOT","PC","A","2021",40.4625220436663,
"USA","TRUSTGOV","TOT","PC","A","2022",31.024155522486,
"BRA","TRUSTGOV","TOT","PC","A","2019",34.0850087334004,
"BRA","TRUSTGOV","TOT","PC","A","2020",36.2292400768302,
"BRA","TRUSTGOV","TOT","PC","A","2021",32.7099283931536,
"BRA","TRUSTGOV","TOT","PC","A","2022",39.1633431519861,
"CHL","TRUSTGOV","TOT","PC","A","2019",15.2523450266274,
"CHL","TRUSTGOV","TOT","PC","A","2020",17.146378832949,
"CHL","TRUSTGOV","TOT","PC","A","2021",23.2144804154189,
"CHL","TRUSTGOV","TOT","PC","A","2022",28.7241784844887,
"COL","TRUSTGOV","TOT","PC","A","2019",32.7981098741416,
"COL","TRUSTGOV","TOT","PC","A","2020",37.3634383411604,
"COL","TRUSTGOV","TOT","PC","A","2021",28.9148897418525,
"COL","TRUSTGOV","TOT","PC","A","2022",29.6825079323217,
"CRI","TRUSTGOV","TOT","PC","A","2019",28.3023851778735,
"CRI","TRUSTGOV","TOT","PC","A","2020",29.823056442099,
"CRI","TRUSTGOV","TOT","PC","A","2021",31.5308324162133,
"CRI","TRUSTGOV","TOT","PC","A","2022",60.0127479827011,
"EST","TRUSTGOV","TOT","PC","A","2019",40.3306536840262,
"EST","TRUSTGOV","TOT","PC","A","2020",46.4805976813481,
"EST","TRUSTGOV","TOT","PC","A","2021",51.926399218504,
"EST","TRUSTGOV","TOT","PC","A","2022",50.8495859391006,
"ISR","TRUSTGOV","TOT","PC","A","2019",49.5666912173238,
"ISR","TRUSTGOV","TOT","PC","A","2020",38.8938520677275,
"ISR","TRUSTGOV","TOT","PC","A","2021",43.9594681535094,
"LVA","TRUSTGOV","TOT","PC","A","2019",23.9407668132642,
"LVA","TRUSTGOV","TOT","PC","A","2020",30.6789062455792,
"LVA","TRUSTGOV","TOT","PC","A","2021",29.4602407828229,
"LTU","TRUSTGOV","TOT","PC","A","2019",40.7248459410706,
"LTU","TRUSTGOV","TOT","PC","A","2020",47.4045330413199,
"LTU","TRUSTGOV","TOT","PC","A","2021",30.3830445599736,
"RUS","TRUSTGOV","TOT","PC","A","2019",43.6963839598187,
"RUS","TRUSTGOV","TOT","PC","A","2020",47.7703668013377,
"RUS","TRUSTGOV","TOT","PC","A","2021",45.6992085335251,
"SVN","TRUSTGOV","TOT","PC","A","2019",39.7150714930083,
"SVN","TRUSTGOV","TOT","PC","A","2020",45.2974234162068,
"SVN","TRUSTGOV","TOT","PC","A","2021",33.9235814755947,
"SVN","TRUSTGOV","TOT","PC","A","2022",45.0723499937177,
"ZAF","TRUSTGOV","TOT","PC","A","2019",49.5906319870362,
"ZAF","TRUSTGOV","TOT","PC","A","2020",51.7606686490518,
"ZAF","TRUSTGOV","TOT","PC","A","2021",50.896150522116,
